index	year	month	location	news
41922	2012	7	india	The Communist Party of India Maoist (CPI Maoist) cadres killed the son of a ruling Biju Janata Dal (BJD) leader at Sana Gunjibhata in Khaparakhol Block of Bolangir District of Odisha early on July 11, reports The Hindu. The Police said about 30 armed Maoists went to the house of Ganeshram Bhoi, looking for his son Sashiram (42). On being told that Sashiram was not home, the Maoists left but returned later and forced Sashiram to accompany them. They tied Sashiram to a pole and assaulted him before killing him with a bayonet, as his family, including his father, watched helplessly. Sashiram had worked as a contractor in neighbouring Nuapada District.
5752	2015	10	india	One person, identified as Bitu Mandal was killed and another one was critically injured as both were reportedly shot at point blank range by the cadres of Khaplang faction of National Socialist Council of Nagaland (NSCN K) near Zunheboto town in Zunheboto District on October 5, reports Morung Express. Police sources said that the victims, both non Naga manual labourers, were reportedly blindfolded with both hands and legs tied and shot at point blank range. NSCN K’s ‘ministry of information publicity (MIP)’ in a press release informed that People’s Army of Nagaland (Naga Army) has awarded “capital punishment to two active Indian undercover agents at Zunheboto on October 5.” It also warned that NSCN K would “not tolerate or spare any espionage activities against the Naga struggle and the same yardstick shall be applied to irrespective of one’s citizenship i.e. local Naga or Indian.”
38805	2012	2	india	Suspected militants of the Garo National Liberation Army (GNLA) barged into the house of a retired Police constable, identified as Warnath S Sangma, and shot him dead on February 26. A group of heavily armed militants numbering between six to ten entered Bansam Awe village, across the Simsang River near Samanda in East Garo Hills and dragged out the retired Police constable before opening fire on him. The militants accused him of being a Police informer before killing him despite his strong denials. Addition Director General of Police (law and order) Rajeev Mehta said, The GNLA suspected that Warnath was responsible for the Police attack on their hideout at a hill top at Bansambagre near Samanda block on February 21, adds Times of India.
22095	2014	12	pakistan	Minister for States and Frontier Regions (Safron) retired Lieutenant General Abdul Qadir Baloch on December 23 rejected a perception that Afghan refugees will involuntarily be sent back to their country after the December 16 Peshawar school attack, reports Dawn. Speaking at a news conference along with Maya Ameratunga, acting representative of the United Nations Commissioner for Refugees (UNHCR), the Minister claimed that the registered Afghan refugees had never been found involved in terrorism related incidents in the country and said they would not be repatriated against their will. Meanwhile, there are fears that the Khyber Pakhtunkhwa Government’s tough stand against registered and unregistered Afghans will expose refugees to harassment and exploitation at the hands of the Police, reports Dawn. After the December 16 Peshawar school attack, the Provincial Government had held a cabinet meeting on security on December 19. The cabinet had declared the presence of a large number of Afghan refugees in the province a burden, which, it insisted, affected security situation in the province. They had decided to ask the Federal Government to send Afghan refugees home and finalise a repatriation plan in 30 days. “The cabinet’s decision was totally unrealistic. It can only encourage the police to extort money from Afghan nationals in the province,” said an official.
54529	2011	3	india	Hindustan Times reports that the cadres of the Communist Party of India Maoist (CPI Maoist) killed a forest official at Gariaband forested area in Raipur District in the night of March 21. Some 3 4 Maoists reached the house of Madhusudan Patil and despite opposition from his wife took him away and killed him by slitting his throat at a culvert, hardly half a kilometer from his house, Superintendent of Police (SP) Lambodar Patel, said. He said Patil tried to run away when Maoists first hit him around the neck but he collapsed and died on the spot.
30362	2013	10	india	The Shillong Times reports that eight militants have been arrested and some arms and ammunition recovered from them during search operations by security forces in different areas of Manipur, police said on October 31. While seven militants including four women cadres belonging to Kanglei Yawol Kann Lup (KYKL) were arrested from Kakching and Thoubal market areas in Thoubal district, another of Kangleipak Communist Party (KCP) was caught from Thoubal police station area in Thoubal district on October 30. Three hand grenades, one 9mm pistol and some ammunition besides a car and a mobile phone were recovered from their possession.
19364	2014	2	pakistan	Tehreek e Taliban Pakistan (TTP) claimed responsibility for the February 13, suicide attack that killed 13 Policemen and injured 58 others on a bus in Shah Latif Town of Karachi, the provincial capital of Sindh, reports The Express Tribune. Earlier, it was reported that 11 Policemen had been killed and 36 were injured in a suicide attack. Claiming responsibility for the “revenge” attack, the TTP said the suicide bombing was in retaliation for the killing of their militants by Law Enforcement Agencies in Karachi, Swabi (Swabi District of Khyber Pakhtunkhwa) and Peshawar (provincial capital of Khyber Pakhtunkhwa). TTP ‘spokesman’ Shahidullah Shahid said, “We carried out the attack against the Police because they are killing our people,” adds Daily Times. “Our defensive war will continue until an agreement is reached on a ceasefire” between negotiation teams representing the Government and the Taliban.
6744	2015	12	india	Six Central Reserve Police Force (CRPF) personnel were injured when militants opened firing on their convoy near Green Tunnel at Samthan in Bijbehara in South Kashmir’s Anantnag District on December 7, reports Daily Excelsior. The militants left first few vehicles and targeted two vehicles in the convoy. The militants fled after the attack taking the cover of dense trees. CRPF spokesman, Ashish Kumar Jha, said that three militants in Army fatigues appeared from nearby fields at Sangam in Anantnag near Bijbehara this morning at around 10 am and fired at CRPF convoy. “It was some sort of a Fidayeen (suicide) attack on the convoy. The militants had planned a proper and big attack on our security forces. But due to alertness of the CRPF Road Opening Patrol deployed on the highway the attack was thwarted. Otherwise, it would have been a major attack,” Jha said. The Hizb ul Mujahideen (HM) outfit has claimed responsibility for the attack. In a telephonic statement HM spokesman Burhan u Din said “Our militants attacked a CRPF convoy near Bijbehara”. Lashkar e Toiba (LeT) spokesman, Dr Abdullah Ghaznavi, also claimed responsibility for the attack on the CRPF convoy.
45477	2012	12	india	A report on militancy compiled by Jammu and Kashmir (J K) Home Ministry says that in the past 23 years the Security Forces (SFs) have recovered nearly 50,000 weapons, including 30,859 AK assault rifles, reports Greater Kashmir on December 30. The data compiled till November 2012, further says that 11,576 pistols and revolvers along with 1,028 universal machine guns, 80 carbines, 2,264 rocket propelled grenade launchers, 221 light machine guns self loading rifles, 306 .303 rifles, 394 sniper rifles, 69 general purpose machine guns and 2,830 rocket boosters have also been recovered. The AK rifles recovered include those of the 47, 56, 74 series. While 160 AK assault rifles were recovered in 2012, as compared to 177 pieces in 2011. Similarly, 181 pistols were recovered in 2012 as against 162 in 2011. The highest numbers of AK rifles seized were 3,504 rifles, in 1992 and the highest cache of 1,052 were recovered in 1996.
61117	2011	6	pakistan	Two persons, Mangla and Iqbal Khan, were injured in a landmine blast in Jani Bairi area of Sui in Dera Bugti District.
