index	year	month	location	news
33544	2013	6	pakistan	In a separate incident, a person, identified as Abdul Whaeed, was shot dead by unidentified assailants in Dawood Goth area of Malir town.
22028	2014	12	pakistan	Umar Mansoor, a key Tehreek e Taliban Pakistan (TTP) commander and a close aid of Mullah Fazlullah was the mastermind of December 16 militants’ attack on Peshawar Army Public School, The Express Tribune reports on December 20. A video posted on December 18 on a website used by the TTP shows a man with a luxuriant chest length beard, holding an admonishing finger aloft as he seeks to justify the December 16 attack. The caption identified him as Umar Mansoor. “If our women and children die as martyrs, your children will not escape,” he said. “We will fight against you in such a style that you attack us and we will take revenge on innocents.” Six TTP cadres interviewed by Reuters confirmed that the mastermind was Mansoor who is close to TTP ‘chief’ Mullah Fazlullah. “He strictly follows the principles of jihad,” one said. “He is strict in principles, but very kind to his juniors. He is popular among the juniors because of his bravery and boldness.” Mansoor got a high school education in the capital, Islamabad, two TTP members said, and later studied in a madrassah. “Umar Mansoor had a tough mind from a very young age, he was always in fights with other boys,” said one TTP cadre. Mansoor has two brothers and spent some time working in the city of Karachi as a labourer before joining the Taliban soon after it was formed, in late 2007, said one commander. His nickname is “nary,” a word in the Pashto language meaning “slim”, and he is the father of two daughters and a son, said another commander. “(Mansoor) likes to play volleyball,” said one of the Taliban members. “He is a good volleyball player. Wherever he shifts his office, he puts a volleyball net up.” The Taliban video describes him as the “amir”, or leader, of Peshawar and nearby Darra Adam Khel. Mansoor deeply opposes talks with the Government, the commanders said. “He was very strict from the start when he joined,” a commander said. “He left many commanders behind if they had a soft corner (of their heart) for the government.”
40940	2012	6	india	New Chief of Army staff (COAS), General Bikram Singh, on June 1 promised a thorough and transparent probe into the allegation of a fake encounter in Dimapur District, Sangai Express quoting Headline Today reported. The Dimapur based 3rd Corps Intelligence Unit (CIU) on March 13, 2010 allegedly picked up three individual, identified as RK Roshan alias Ronald, Thounaojam Prem alias Roman and Th Naobi of Manipur, from Dimapur and subsequently killed them. The decomposed body of the trio was recovered on March 21, 2010 from Karbi Anglong District in Assam
7307	2015	1	pakistan	An activist of the Muttahida Qaumi Movement (MQM) Unit 6, identified as Danish (30), was shot dead and another man, identified as Touseef (26), was shot at and injured in Malir Town of Karachi, the provincial capital of Sindh on January 20, reported Daily Times.
59829	2011	2	pakistan	A man was killed in a target killing incident in Khameeso Goth jurisdiction of New Karachi Industrial Area police station. The victim Sarzameen was going on his motorcycle to Khameeso Goth, when armed militants opened fire at him causing injuries. Later, he succumbed to his injuries
62172	2011	8	pakistan	Awami National Party (ANP) Sindh President Shahi Syed said that the flawed policies of the Government were responsible for continuation of target killings in Karachi, reported Daily Times. “There is urgent need to devise a sincere policy and make efforts to save Karachi from the fire of lawlessness. The bodies of innocent people in gunny bags are found from streets of Karachi on daily basis, which is the height of lawlessness in any civilised society,” said Shaji Syed. Syed demanded calling Army in Karachi and said the Police had repeatedly proved itself totally incapable to control lawlessness in the city, adding, Karachi lawlessness is also dealing a deadly blow to the national economy.
7901	2015	3	pakistan	Unidentified assailants shot dead two persons, Muhammad Waleed and Wash Dil, in the Daramkol Baidarg area of the Turbat District on March 30, reports The News. According to police sources, the victims were on their way when armed assailants riding a motorbike opened fire on them and fled. Both of them died on the spot.
38908	2012	3	india	Police on March 2 neutralized a Garo National Liberation Army (GNLA) hideout, wherein 100 powerful detonators used for triggering Improvised Explosive Device (IED) blasts were kept, near Kharkutta in East Garo Hills District. Police teams were conducting a search operation of Arengdo village, near Kharkutta at 6 30am when they spotted the GNLA camp outside the village. Before the Police could move in, the GNLA militants, in a group of six to eight, fired heavily on the teams and the encounter lasted for 30 long minutes. The militants escaped leaving behind the powerful detonators, a pistol and a large number of demand notes of the GNLA.
47315	2012	4	pakistan	United States (US) Defense Secretary Leon Panetta said on April 27 that there is “no silver bullet” to completely destroy al Qaeda but argued that killing Osama bin Laden helped set the network back, reports Dawn. “Having been involved in the operations, even before we did bin Laden, it’s clear that there is no kind of silver bullet here to suddenly being able to destroy al Qaeda, and that includes even going after bin Laden,” he said. “But the way this works is that the more successful we are at taking down those who represent their spiritual and ideological leadership, the greater our ability to weaken their threat to this country and to other countries,” he added further. Panetta said he was certain that America was safer as a result of the bin Laden operation. “When you combine that with the other operations that have taken place, that have gone after al Qaeda leadership, I think it really has weakened al Qaeda as an organization and certainly it has prevented them from having the command and control capability to be able to put together an attack similar to 9 11,” the Defense Secretary pointed out. However, he cautioned, that this did not mean that there was no longer a terrorism threat. “It doesn’t mean that we somehow don’t have the responsibility to keep going after them wherever they are,” Panetta said.
23101	2014	7	srilanka	Sri Lankan Defence Secretary Gotabhaya Rajapaksa on July 1 ruled out any possibility that its soil could be used for terror attacks against India, after the recent discovery of an alleged terrorist plot to attack foreign missions in south India, reports Enewspaper of India. He said The Indian intelligence agencies have told me that there is a possibility of Islamic terrorism being based in Sri Lanka to act against India. However, we investigated these concerns and found that there is no merit in these concerns or claims. Indian authorities recently started investigating an alleged plot by a Pakistan based terror group to carry out suicide attacks on US and Israeli Consulates in south India. The conspiracy was reportedly planned overseas including in Sri Lanka, Malaysia and the Maldives. The plot was foiled by effective coordination of the Intelligence Bureau (IB) with countries such as Malaysia which tipped off India about the plan being hatched from Sri Lankan soil to attack the consulates in Chennai (Tamil Nadu) and Bangalore (Karnataka).
