index	year	month	location	news
39388	2012	3	india	State Forest Minister Rokybul Hussain on March 26 said in the State Assembly that 56 abduction cases have been registered in the State since January 2012, reports Telegraph. Hussain further said that between 2006 and 2011, there have been 456 cases of abduction in the State. Assam Tribune adds that 70 persons were abducted in 2011 and three of them were killed, and security agencies have definite information that at least 45 of them paid ransom to the militants to come out safely. The report further states that 75 persons were abducted in 2010. The news report, however, states that 31 persons have been abducted within the first three months of this year.
34879	2013	10	pakistan	Security Forces (SFs) on October 6 temporarily called off the targeted operation in the Chilas town of Diamer District in Gilgit Baltistan after it failed to achieve the ‘desired results’, reports The Express Tribune. An operation was launched on October 4 5, 2013, in Shaheen Koat and Takia areas of Chilas town after intelligence reports suggested the presence of at least two suspects involved in the June 23, 2013 Nanga Parbat attack. The operation was launched after the Police intercepted phone calls which revealed the location of the two suspected terrorists as well as a potential terror plot targeting the area. Intelligence revealed suspects had entered Chilas town via Kohistan District of Khyber Pakhtunkhwa. “Although 16 people were taken into custody, none of them were behind the attack,” a police official said regarding the results of the operation. Superintendent of Police (SP) Jahangir Khan speculated the calls, which were intercepted by agencies, might have been made from cell phones belonging to the wanted men but by their relatives or accomplices. “The operation was a partial success,” said Khan, but denied arresting any of the men behind the Nanga Parbat attack. Eight of the 16 men arrested were also released after investigation. “The operation has temporarily been halted,” the SP said.
38124	2012	1	india	in a letter written to the Chief Minister Arjun Munda, the Union Home Minister P. Chidambaram expressed his dissatisfaction with the performance of Jharkhand Government in combating Maoists, reports The Telegraph. The letter, according to sources, also contained an advisory pointing to the possibility of Maoist engineered attacks on Police vehicles. The State Government played down the importance and timing of the letter, saying such communications was being sent to States regularly. “The Union Home Ministry letter was nothing unusual. It followed Chidambaram’s assessment of Maoist violence at a meeting with the State Government in November 2011. We had reacted to his worries at the meeting,” Munda said. Chidambaram pointed out Jharkhand had not been able to prevent rampant extortion by, and violence among, Maoist splinter groups.
33186	2013	5	pakistan	Contrary to the military’s stand on the war against terrorism, Pakistan Muslim League Nawaz (PML N) chief Nawaz Sharif considers dialogue with militants as the best option to restore peace in the country, Dawn reported on May 21. “Forty thousand precious lives have so far been lost and the national economy is suffering a loss of billions of dollars (in the war against terrorism). Why should not (we) sit for a dialogue to restore peace,” the chief executive of the incoming government told his party’s legislators elect at a ceremony in Lahore on May 20. “Is it a bad option ” he asked and then answered himself “It is the best available option.” He said gun was not a solution to any problem, adding that the Taliban’s offer for dialogue should be taken seriously. Every option should be explored to bring an end to the ongoing carnage in Karachi and tribal areas, he suggested.
21458	2014	10	pakistan	Two Dir Scouts officials were killed and two others injured when their vehicle struck an improvised explosive device (IED) in Salarzai tehsil of Bajaur Agency on October 18, reports Central Asia Online.
23961	2013	9	bangladesh	The Jamaat e Islami (JeI) and its student wing Islami Chhatra Shibir (ICS) cadres attacked a CNG run auto rickshaw at Chondidasgati village in Sirajganj District, killing one of its passengers Masud Hossai (27) and injuring another Shah Alam (38), reports The Daily Star.
818	2015	12	bangladesh	The Supreme Court (SC) on December 31, released the full judgement on War Criminal Delawar Hossain Sayedee paving way for a review against his commuted punishment, reports Daily Star. The court released its full judgment, which commuted Sayedee’s death sentence to imprisonment until death, after the apex court’s five judges signed it. On February 28, 2013, International Crimes Tribunal 1 (ICT) sentenced Sayedee to death for killing Ibrahim Kutti and one Bisa Bali in Pirojpur in 1971, even though it had found him guilty on eight charges filed against him. On March 28, 2013, Sayedee filed an appeal with the SC seeking acquittal on all charges. The same day, the government submitted a separate appeal seeking Sayedee’s punishment on all the eight charges. The SC on September 17, 2014 announced a short order in which it commuted Sayedee’s death sentence to imprisonment until death.
21583	2014	11	pakistan	A Joint Investigation Team is probing into the blast as per the directions of Punjab Chief Minister Shahbaz Sharif. Capital City Police Officer (CCPO) Lahore confirmed the arrest of two terrorists belonging to a banned outfit suspected to be involved in planning a number of attacks at the Wagah Border.
35299	2013	11	pakistan	A Police constable, identified as Sher Nawaz Khan, was killed when a group of militants attacked Suripull Police checkpost in Lakki Marwat District on November 5, reports Daily Times. However, the attackers escaped from the scene by taking advantage of darkness. Police rushed to the spot and started a search operation. No group has claimed responsibility for the attack.
19935	2014	4	pakistan	A report by the Human Rights Commission of Pakistan (HRCP) on April 14 revealed that between January and March 2014, around 71 men have been killed in Police encounters while 44 were killed by paramilitary soldiers in provincial capital Karachi, reports The Express Tribune. According to the report, the ongoing targeted operation in Karachi has led to a sharp rise in incidents of Police encounters as 115 suspects have so far been killed by Law Enforcement Agencies (LEAs) in the last three months. It is reported to be a significant rise from 2013 where around 189 suspects were killed over 12 months. In 2012, around 118 suspects were killed by Police and paramilitary soldiers. HRCP Chairperson Zohra Yusuf feared that if the Protection of Pakistan Ordinance is enforced, it will result in an increase of Police encounters and extrajudicial killings. “Initially, the LEAs did not have the permission to open fire,” she said, adding, “Now if this law comes in, they can shoot over suspicions. It will legalise such killings and the situation may get worse.”
