index	year	month	location	news
57735	2011	9	india	General Officer Commanding (GOC, 16 Corps) Lieutenant General J. P. Nehra on September 19 said that infiltration attempts have increased during the past few months, reports Daily Excelsior. He said, During the past one and half months, infiltration attempts have been increasing in the area of White Knight Corps but each and every attempt was foiled by the alert and vigilant troops.” No, there was no attack by Pakistani troops on Indian forward post to capture it along the Line of Control LoC . There was only an incident of firing and the same was repulsed effectively , he said in response to a question, adding due to retaliation by our troops, they (Pakistani troops) suffered damages . In response to another question, he said, Winter or summer doesn t make much difference as far as White Knights area of responsibility is concerned. In some areas, militants do change their tactics during winter but we have our strategy in place and Army with the assistance of Police and local administration would continue to foil their nefarious designs. Regarding number of terror camps, militants in Pakistan and PoK, he said, The terrorist camps were never de activated across the fence but the figure keeps varying. As per the latest inputs from the intelligence agencies, there are about 42 camps opposite the area of responsibility of White Knight Corps and the number of militants may be between 250 to 500. Though there is no specific information regarding fresh recruitment yet continuous attempts are being made, he further said. He also added, Pakistan has become an epicenter of global terrorism and failed to tackle growing extremism on its own soil , he further said, adding while Pakistan is an epicenter of the global terror, it is a key ally of the US on war against terrorism. It is a partner in the war to tackle terror in other countries like Afghanistan but has failed to tackle growing terror on its own soil, he stated.
32567	2013	3	pakistan	A leader of the Sindh Tarqi Pasand (STP), Qambar Shahdadkot District President Abdul Aziz Mastoi, was killed in a firing attack in the limits of City Police Station of Qambar Shahdadkot on March 27, reports The News.
64695	2011	3	srilanka	Government of Sri Lanka on its own must investigate the killing of thousands of civilians in the final months of its separatist war with theLiberation Tigers of Tamil Eelam (LTTE) or else may risk an international probe into the alleged war crimes,said Robert O. Blake, Assistant Secretary, Bureau of South, and Central Asian Affairs of the US State Department said in an interview to the AFP news agency, Colombo Page reported on March 1. While insisting that the United States is not holding Sri Lanka to any special standards, he said that a major issue for the US as well as for the international community is the question of accountability in Sri Lanka s war against the LTTE. As you know, the UN has estimated that many thousands of civilians were killed at the end of, in the final few months of the war. Those need to be investigated, preferably by the Government of Sri Lanka and its own institutions, Blake said during the interview. The Assistant Secretary noting that there are still a number of important steps to be taken said the US would prefer to see Sri Lanka taking its own measures to handle those issues. It s always best for a host nation to take responsibility for these sensitive issues. But I think also it s important to say that if Sri Lanka is not willing to meet international standards regarding these matters that there will be pressure to appoint some sort of international commission to look into these things, he cautioned. He noted that the Government has implemented some of the measures recommended by the country s own investigative body Lessons Learnt and Reconciliation Commission (LLRC) and appointed 350 Tamil speaking police to serve in Jaffna. The LLRC is to submit its report the President Mahinda Rajapakse in May. He, however, stressed that Sri Lanka must achieve national reconciliation he said that the postponed third round of talks with the Tamil National Alliance (TNA) can be rescheduled as soon as possible. Earlier, the third round of the talks scheduled for March 1 between the Sri Lankan Government and TNAwas postponed until after the forthcoming local Government electionson March 17. The TNA was to discuss several issues concerning the Northern and Eastern provinces and the people living in those areas at the talks. The TNA had also extended an invitation to the minor Tamil party People s Liberation Organization of Tamil Eelam (PLOTE) to join the discussions scheduled. Discussions between the TNA and the Government commenced in order to address issues related to the resettlement of people in the North, the troubles faced by Jaffna fishermen and finding a solution to the ethnic issue. The first round of talks between the Government and the TNA was held on January 10 and the second round of talks was held on February 3.
18379	2014	12	india	On December 2, Minister of State for Finance, Jayant Sinha in a written reply in Rajya Sabha (Upper House of Indian Parliament) stated that Government has seized Fake Indian Currency Note (FICN) with a face value of INR 59,83,000 which has linkage to Pakistan in three fiscal years, reports Zee News. Replying to a question whether it was a fact that FICN is being sneaked into the country from Pakistan, Jayant Sinha in a written reply in Rajya Sabha said, Yes Giving details he said FICN with a face value INR 24,93,000 were seized from Munabao village in Barmer District of Rajasthan bordering Pakistan in 2012 13. In 2013 14, FICN with a face value of INR 30.01 lakh were seized from Krishnanagar in Nadia District of West Bengal and Delhi. In 2014 15 (till October), again counterfeits with a face value of INR 4,89,000 have been seized in 2014 15 from Malda District in West Bengal. The Indian banking system detected over 2,52,000 pieces of FICN of INR 500 denomination in Financial Year 2014 as against the 2,81,000 the year before. The number of INR 1,000 denomination fake notes rose to 1,10,000 as against the 98,459 in the preceding year, according to a study by Reserve Bank of India (RBI).
22741	2014	12	nepal	On December 7, the Dailekh District Court in Kathmandu, convicted five persons in the 2004 murder case of journalist Dekendra Thapa, a correspondent for state owned Radio Nepal, who was abducted on June 26, 2004, and later was killed by the then Maoist cadres on August 11, 2004, reports The Himalayan Times. A single bench of District judge Dilli Ratna Shrestha convicted Jaya Bahadur Sahi, Hira Lal Pun, Nirak KC, Bir Bahadur Gharti and Laxmiram Gharti in the Thapa murder case.
62045	2011	8	pakistan	At least five people, including activists of the Muttahida Qaumi Movement (MQM) and Pakistan People’s Party (PPP), were shot dead in separate acts of target killing and violence in different parts of Karachi on August 9, reported Daily Times. An MQM activist, Azeem, was shot dead near Jhanda Chowk in Liaquatabad area within the jurisdiction of the Super Market Police Station.
10125	2015	8	nepal	Four Constituent Assembly (CA) members from the Sadbhavana Party (SP) on August 23 submitted their resignations to CA Chairman Subas Nembang alleging that the major political parties ignored the voice of minorities by taking advantage of their strength in CA, reports Myrepublica.com. Though the party had announced on August 18, to submit resignation of all its six lawmakers, only Laxman Lal Karna, Bimal Kumar Kediya, Shail Kumari Devi and suspended lawmaker Sanjay Kumar Sah submitted their resignations on August 23. According to Karna, lawmaker Madhvi Rani was unwell while Narsingh Chaudhary was outside Kathmandu Valley and the two will also submit their resignations soon. On behalf of Sah, Karna submitted the resignation to the CA chairman since Sah is in jail on the charge of masterminding a bomb attack in Janakpur in 2011. Exiting the CA chairman s chamber after submitting the resignations, Karna said that they were forced to resign as the major parties conspired against the people of Madhes, Tharuhat, indigenous communities and women. We cannot cling on to our CA seat when people are dying on the streets, reiterated Karna. Meanwhile, with the submission of the revised draft constitution at a full House meeting of the CA on August 23, the CA secretariat has stepped up the final work of producing a new constitution through the CA, reports Myrepublica.com. Officials said that as per the latest plan, the secretariat is working under a timeline to conclude all the remaining procedures and promulgate the new constitution by mid September. The full CA on August 23, decided to allow three days for lawmakers to study the revised draft. After the study time ends, lawmakers will be allocated five days at the most for general discussions on the revised draft constitution at the full CA meeting.
45369	2012	12	india	With regard to the cases of serial blasts in the courts of Lucknow, Faizabad and Varanasi of November 23, 2007, the Anti Terror Squad (ATS) is saying the blasts were jointly carried out by Harkat ul Jehad e Islam (HuJI) and Indian Mujahideen (IM), Indian Express reports on December 20. ATS has also named seven Azamgarh based alleged IM operatives. The ATS, which is investigating the blast cases, has made the disclosure in a letter attached with the affidavit filed by Varanasi Police before the High Court. The letter gives the status of the cases and the names of the accused which came into light during the investigation.
59665	2011	1	pakistan	Three persons, including a senior government official and a woman, were killed in two separate firing incidents in Quetta, the provincial capital of Balochistan on January 15, reports Daily Times. Pakistan Council of Research in Water Resources (PCRWR) Deputy Director Abdul Qayyum was going to his office when some unidentified men opened fire at his vehicle on the Airport Road near a NADRA office. Qayyum received three bullets and died on the spot. The assailants, however, managed to escape from the scene.
34367	2013	8	pakistan	A labourer, identified as Naseeb Zada, was killed in Qasba Colony in Peerabad area of SITE Town on August 30, reports The News. Peerabad SHO Abdul Moeed said, “Policemen patrolling the area in a van saw the incident and chased the fleeing attackers.” “After a shootout, the Police arrested one of them, identified as Wali Jaan, while the other escaped.”
