index	year	month	location	news
49013	2012	7	pakistan	A tribal leader was killed while his associate injured in an incident of firing in Osta Muhammad area in Jaffarabad District. The Police said that unidentified militants opened fire on Mir Abdul Qadir Umrani and Akbar Shah, killing Umrani and injuring Shah on Ali Abad Road. Qadir was identified as the son of tribal leader and politician, Haji Mithal Khan Umrani.
21413	2014	10	pakistan	At least five persons were killed in separate incidents of violence in Karachi (Karachi District), the provincial capital of Sindh on October 9, reports The News. A Sub Inspector (SI) of the Sindh Police, identified as Haider Bhatti, and a drug peddler, identified as Attaullah, were killed in an armed attack near Katti Pahari area.
44809	2012	11	india	Six fugitive Communist Party of India Maoist (CPI Maoist) cadres who had escaped on November 11 following an attack on the transit van claiming lives of four policemen in Giridih town of Jharkhand, if surrender would not be charged with hatching the plot, a top police official said on November 18, reports zeenews.india.com. Inspector General of Police (IGP) (Bokaro Zone), Murari Lal Meena, said “If the six Maoists (who fled after the attack) surrender, it would be understood that they were not part of the plot and a case of attacking the van, killing policemen and looting their rifles will not be instituted against them.
48716	2012	7	pakistan	A man was shot dead in Orangi Town Sector 12 L within the jurisdiction of Orangi Town Police Station. Police said that at least two armed motorcyclists shot and killed Jamal Faisal (37) while he was on his way to work.
32436	2013	3	pakistan	Unidentified gunmen on March 13 abducted two women tourists, from the Czech Republic, in Chaghi District, officials said, according to Daily Times. Local government officials said the women entered the province from Iran as tourists and were abducted from an area some 550 kilometres west of Quetta, the provincial town of Balochistan, which borders both Iran and Afghanistan. “Both the women were from Czech Republic and entered in Pakistan as tourists,” Akbar Hussain Durrani, the provincial home secretary told AFP. “Gunmen stopped their bus in the Nok Kundi area of Chaghi District and abducted both of them.” Durrani said women were being escorted by a tribal Policeman when they were abducted. The guard was also taken captive but was later freed.
50267	2012	10	pakistan	Crime Investigation Department (CID) claimed to have arrested a target killer, identified as Faheem, belonging to a religious party in a raid in Allah Wali Chowrangi on Tariq Road, and recovered weapon from his possession. Senior Superintendent of Police (SSP) Fayyaz Khan alleged that accused had killed a man namely Sabir Hussian Gilgiti within the limits of Brigade Police Station. He said the accused was also involved in heinous crimes, including extortion and robberies.
62346	2011	8	pakistan	Two suspected militants were killed in a blast in Gulshan e Iqbal area under Mobina Town Police Station in Karachi on August 30, reports Daily Times. According details, two unidentified men were on their way somewhere when their motorcycle skidded off the road and the explosive devise they were carrying exploded. Inspector Abid Farooq of the Bomb Disposal Squad said that the device carried some four kilogrammes of high explosive material.
25344	2013	2	india	Troops observed a major infiltration attempt on the Line of Control (LoC) along Yunus Nullah in Hamirpur area of Balakote in Mendhar sector of Poonch District on February 17 with reliable reports indicating that 3 to 4 militants had managed to sneak into Indian side after exchange of heavy firing with the Army for about four hours, reports Daily Excelsior. Official sources said troops of 22 Rajput Rifles and 49 Rashtriya Rifles observed movement of 4 to 5 infiltrators about 100 to 200 meters inside the Indian territory trying to cut fencing in white dress. The alert troops challenged the intruders and asked them to surrender. However, the militants opened heavy firing on the Army personnel, who retaliated. Army personnel carried out massive searches in the area. Intelligence inputs further revealed that a Pakistani guide Iksaar Ahmad of Muradpur in Pakistan occupied Kashmir (PoK) was accompanying the infiltrators and he managed to retrieve.
17160	2014	10	india	Three woman cadres of the CPI Maoist were killed in an encounter with security forces in Bijapur District on October 8, reports The Hindu.“A joint team of district police and the Central Reserve Police Force came under fire from the Maoists near Potenar forest in Bijapur district of Bastar on today Wednesday morning. Our team returned the fire and the encounter is still on. We have recovered three dead bodies of woman Maoists and two country made rifles,” said S.R. Kalluri, the Inspector General (IG) of Police, Bastar range. The IG also said the encounter took place 13 km away from Jangla Police Station in Bijapur.
8948	2015	8	pakistan	At least one man killed and four others sustained injuries on August 31 in an improvised explosive device (IED) blast in Khar tehsil (revenue unit) of Bajaur Agency in Federally Administered Tribal Areas (FATA), reports Dawn. According to security sources, the vehicle was on the way from Salarzai area to Khar when an IED, planted on the roadside, went off. The source said that a pro government elder travelling in the vehicle was the apparent target of the attack but the elder survived the blast while his driver was killed.
51449	2012	12	pakistan	A car bomb exploded on December 30 near a convoy of buses taking Shia pilgrims to Iran, killing 20 persons and injuring 25, on the RCD Highway in the Dringer area in Mastung District of Balochistan, reports Daily Times. Police said that the blast occurred as the three buses were overtaking a car, site of many sectarian attacks, near the Iranian border. Balochistan Home Secretary, Akbar Durrani said that remote controlled explosive was used to target the buses. Talking to the media, he denied reports that a suicide bomber attacked the buses. Jaish e ul Islam claimed the responsibility for the Mastung bombing. A Jaish e ul Islam spokesperson, Ghazi Haq Nawaz, said that the attack on pilgrim buses by the “Mujahideen” was in response to an attack on Sunni clerics in Quetta and Karachi. Nawaz asked the Mastung Administration not to help Shias “otherwise it would be their next target”. He also warned CD shop owners in Quetta to destroy all those CDs which contain blasphemous material.
35506	2013	11	pakistan	At least seven people were killed and 40 others were injured in twins blasts near a roadside tea stall in Shia dominated Ancholi area of Gulberg Town in Karachi, the provincial capital of Sindh on November 22, reported The News. The Associate Producer of Geo News program “Geo FIR”, Salik Ali Jaffery was also among the victims. “The Improvised Explosive Devices were planted on two motorbikes, which went off with a big bang, killing five people and injuring 18 others,” senior local police official Javed Odho said, adds Daily Times. He said it was difficult to say immediately whether Shias were the target because Sunnis also lived near the blast site. However, Shia Ulema Council and Majlis Wahdat e Muslimeen (MWM) announced three days of mourning and demanded the Government take immediate action against those responsible for the bombings.
