Karkanai,Unknown
Khasadar force,Military
Khasdar official,Military
Khassadar,Military
Kohistan District,Unknown
Kokrajhar Police,Police
Kuda Cold Storage,Food and Water Supply
LI,Lashkar i Islam
LWE,Left Wing Extremists
LWEs,Left Wing Extremists
Lashkar i Islam,Lashkar i Islam
Left Wing Extremists,Left Wing Extremists
Line of Control,Line of Control
LoC,Line of Control
MPA,Government
MQM,Muttahida Qaumi Movement
Mandal Hotel,Business
Manipur Chief Minister,Government
Manipur Rifles,Military
Maoist Centre leader,Maoist
Meghalaya Police Operation Camp,Police
Member Provincial Assembly,Government
Military Police,Military
Minister,Government
Muttahida Qaumi Movement,Muttahida Qaumi Movement
NC,National Conference
NC leader,National Conference
NDS,Government
NMDC,Government
NNC NA,Naga National Council
NPC,Government
Naga,Naga National Council
Naga National Council,Naga National Council
Nagas,Naga National Council
National Conference,National Conference
National Conference leader,National Conference
National Directorate of Security,Government
National Mineral Development Corporation,Government
National Party leader,Government
Naxal Left Wing Extremism,Naxal Left Wing Extremism
Neo JMB,Neo JMB
New Sariab Police Training College,Police
NotSpecified,Unknown Target
Odisha Government officials,Government
Officer,Government
PBCP,Purbo Banglar Communist Party
PDP,People Democratic Party
PTC,Unknown
Pakistan army,Military
Pakistani troopers,Military
Panchayat Ghar,Government
Panzgam Army,Military
Peopleâ€™s Democratic Party,People Democratic Party
Personal Security Officer,Government
Personnel,Military
Police,Police
Police Checkpoints,Police
Police Constable,Police
Police Officer,Police
Police Post,Police
Police Station Chief,Police
Police checkpoints,Police
Police commandos,Police
Police informer,Police
Police man,Police
Police mobile,Police
Police mobile van,Police
Police party,Police
Police patrolling party,Police
Police personnel,Police
Police post,Police
Police team,Police
Policeman,Police
Policemen,Police
Public Works Minister,Government
Purba Bangla Communist Party,Purbo Banglar Communist Party
RAB,Police
RIMS,Educational Institution 
RR,Military
Rajshahi University teacher Professor,Educational Institution 
Rangers,Military
Rangers check post,Military
Rapid Action Battalion,Police
Regional Institute of Medical Sciences,Educational Institution 
Road and Buildings,Transportation
SF,Military
SF personnel,Military
SFs,Military
SHO,Government
SI,Police
SOG,Police
SP,Military
SPO,Military
SSB,Military
STF,Government
SUV,Transportation
SWAT,Military
SWAT personnel,Military
Salahuddin Levies,Military
Salesman,Private Citizen and Property
Sashastra Seema Bal,Military
School,Educational Institution 
Security,Military
Security Force,Military
Security Forces,Military
Security Guards,Military
Sikh woman,Private Citizen and Property
Soldier,Military
Soldiers,Military
Son,Private Citizen and Property
Special Force,Military
Special Operations Group,Police
Special Operations Group of Jammu and Kashmir Police,Police
Special Police Officer,Police
Special Task Force,Government
State Police head constable,Police
Station House Officer,Government
Sub Inspector,Police
Superintendent of Police,Police
Survey Office,Government
Sylhet Divisional Speedy Trial Tribunal judge,Government
TJ,Tablighi Jamaat
TPC,Tritiya Prastuti Committee
Tablighi Jamaâ€™at,Tablighi Jamaat
The Sangai Express Troops,Military
Three Border Security Force,Military
Traffic Police personnel,Police
Tritiya Prastuti Committee,Tritiya Prastuti Committee
Troops,Military
Vigilanceâ€™s drive,Transportation
Wolesi Jirga,Wolesi Jirga
World Vision International Nepalâ€™s Office,Government
accountant,Private Citizen and Property
activist,Private Citizen and Property
army,Military
automobile company,Business
bomb disposal squad,Military
boy,Private Citizen and Property
boys,Private Citizen and Property
building,Private Citizen and Property
bus,Transportation
businessman,Private Citizen and Property
cadre,Violent Political Parties
cadres,Violent Political Parties
camp,Private Citizen and Property
candidate,Private Citizen and Property
caretaker,Private Citizen and Property
cars,Transportation
check post,Police
child,Private Citizen and Property
children,Private Citizen and Property
civilian,Private Citizen and Property
civilians,Private Citizen and Property
colleagues,Private Citizen and Property
colony,Private Citizen and Property
commander,Military
commandos,Military
constable,Military
constables,Military
construction camp,Private Citizen and Property
construction company staff,Private Citizen and Property
construction site,Private Citizen and Property
contractor,Private Citizen and Property
contractors,Private Citizen and Property
cops,Police
councilor of Northern Provincial Council,Government
couple,Private Citizen and Property
criminals,Unknown
daughter,Private Citizen and Property
deputy sarpanch,Government
disbelievers,Private Citizen and Property
doctor,Private Citizen and Property
driver,Private Citizen and Property
drivers,Private Citizen and Property
e The Security Forces,Military
elder,Private Citizen and Property
employee,Private Citizen and Property
employees,Private Citizen and Property
engineer,Private Citizen and Property
equipments,Private Citizen and Property
family,Private Citizen and Property
five storey building,Private Citizen and Property
foreigner,Private Citizen and Property
foreigners,Private Citizen and Property
former Maoist,Maoist 
former legislator,Government
fuel tanker,Police
garage,Private Citizen and Property
gas exploration company,Business
girls  schools,Educational Institution 
girlsâ€™ schools,Educational Institution 
granddaughter,Private Citizen and Property
grocery store,Business
guard,Military
guards,Military
guests,Private Citizen and Property
head Constable,Military
head constable,Military
head of Kabul Ulema Council,Government
head of village level local self government institution,Government
homeopath,Private Citizen and Property
hostages,Private Citizen and Property
house,Private Citizen and Property
houses,Private Citizen and Property
husband,Private Citizen and Property
jawan,Military
jawans,Military
joint search party,Military
journalist,Journalist and Media
killed,Journalist and Media
labourers,Unknown
law enforcers,Government
lawyers,Private Citizen and Property
leader,Government
lieutenant colonel,Military
local women pressure group,Violent Political Parties
local womenâ€™s pressure group,Violent Political Parties
machineries,Private Citizen and Property
machinery,Private Citizen and Property
machines,Private Citizen and Property
man,Private Citizen and Property
manufacturing unit,Business
market place,Business
member,Private Citizen and Property
militant,Military
militants,Military
military commander,Military
miner,Military
miners,Military
minister,Government
mixture machine,Private Citizen and Property
mobile tower,Telecommunication
mosques,Relegious Institution
naka party,naka party
navigator,Private Citizen and Property
non local masons,Private Citizen and Property
non locals,Private Citizen and Property
office building,Private Citizen and Property
officer,Private Citizen and Property
officers,Private Citizen and Property
official,Private Citizen and Property
operator,Private Citizen and Property
others,Private Citizen and Property
paramilitary personnel,Government
passenger bus,Transportation
passenger train,Transportation
passer,Private Citizen and Property
passerby,Private Citizen and Property
passers,Private Citizen and Property
patrol,Military
paver machine,Private Citizen and Property
people,Private Citizen and Property
person,Private Citizen and Property
personnel,Military
persons,Private Citizen and Property
pilots,Airports and Aircraft 
pipelines,Private Citizen and Property
police,Police
police mobile,Police
police official,Police
police party,Police
police van,Police
policemen,Police
polling observers,Police
porters,Private Citizen and Property
president,Government
priest,Relegious Institution
principal of University Law College Quetta,Educational Institution 
private bus,Transportation
private medial practitioner,Private Citizen and Property
railway,Transportation
relatives,Private Citizen and Property
religious scholars,Relegious Institution
resident,Private Citizen and Property
ringleader,Government
road construction workers,Private Citizen and Property
road roller,Others
road roller machine,Others
salesman,Private Citizen and Property
sarpanch,Government
school,Educational Institution 
school buildings,Educational Institution 
schools,Educational Institution 
search party,Military
security,Military
security convoy,Military
security forces,Military
security guards,Military
security personnel,Military
senior leader,Military
senior officer,Military
shopkeeper,Private Citizen and Property
show room,Business
shrine of Pir Ziarat,Relegious Institution
site,Private Citizen and Property
snipers,Military
soldier,Military
soldiers,Military
solider,Military
son,Private Citizen and Property
son of former Prime Minister,Government
staff,Private Citizen and Property
student,Educational Institution 
supporter,Private Citizen and Property
survey office,Government
sympathiser,Private Citizen and Property
teacher,Educational Institution 
tipper,Transportation
tipper truck,Transportation
toddler,Private Citizen and Property
tractor,Others
tractors,Others
trade,Business
tribal elder,Private Citizen and Property
tribal youth,Private Citizen and Property
tribals,Private Citizen and Property
tribesman,Private Citizen and Property
trooper,Military
troopers,Military
troops,Military
truck,Transportation
truck driver,Private Citizen and Property
trucks,Transportation
unarmed civilians,Private Citizen and Property
vehicle,Transportation
vehicles,Transportation
villager,Private Citizen and Property
villagers,Private Citizen and Property
villages,Private Citizen and Property
water tank,Food and Water Supply
wife,Private Citizen and Property
woman,Private Citizen and Property
women,Private Citizen and Property
worker,Private Citizen and Property
workers,Private Citizen and Property
youth,Private Citizen and Property
youth leader,Government
youths,Private Citizen and Property
41 RR,Military
prayer leader,Relegious Institution
village headman,Government
headmaster,Educational Institution 
Assistant Superintendent of Police,Police
ASP,Police
Jamaâ€™at ud Dawa,Jamaat ud Dawa
JuD,Jamaat ud Dawa
Coast Guard,Police
NSCN R),National Socialist Council of Nagaland
National Socialist Council of Nagaland,National Socialist Council of Nagaland
gardener,Private Citizen and Property
captains,Military
law enforcement,Government
men,Private Citizen and Property
Levies,Levies
PTI,Pakistan Tehreek i Insaf
Pakistan Tehreek i Insaf,Pakistan Tehreek i Insaf
polio worker,Private Citizen and Property
tribal,Private Citizen and Property
JJMP,Jharkhand Jan Mukti Parishad
Jharkhand Jan Mukti Parishad,Jharkhand Jan Mukti Parishad
accomplices,Private Citizen and Property
Christian grocer,Private Citizen and Property
FATA,Government
Development Authority,Government
FDA,Government
Federally Administered Tribal Areas,Government
Indians,Private Citizen and Property
Government school,Educational Institution 
Additional District Magistrate,Government
police informer,Police
ADM,Government
Assam Police,Police
security men,Police
lady,Private Citizen and Property
health workers,Private Citizen and Property
Police Constables,Police
suspected member,Private Citizen and Property
civilian driver,Private Citizen and Property
Kuki Revolutionary Army,Military
KRA,Military
resident of Wako village,Private Citizen and Property
resident of Sonpur village,Private Citizen and Property
founder,Private Citizen and Property
chief,Military
PLFI,Peoples liberation front of India
Peoples liberation front of India,Peoples liberation front of India
car,Transportation
buildings,Private Citizen and Property
Police jawan,Police
army convoy,Military
Muslim Children Academy School,Educational Institution 
Muslim Children Academy school,Educational Institution 
polio workers,Private Citizen and Property
Sufidsang Road,Transportation
NP office,Private Citizen and Property
Armed Forces,Military
Hawk Force of State Police,Police
District Education Office,Government
trader,Private Citizen and Property
road construction site,Transportation
Police patrol party,Police
tribal chief,Private Citizen and Property
Army officer,Military
coal loaded train,Transportation
diesel engine,Transportation
deputy head of village level local self government institution,Government
school building,Educational Institution 
Tourism department,Government
Government Middle School,Educational Institution 
Zaiqa Cafeteria,Business
solar tube well,Private Citizen and Property
Khasadars,Khasadars
Pakistan Peopleâ€™s Party,Pakistan People Party
PPP,Pakistan People Party
Meghalaya Police,Police
locals,Private Citizen and Property
bank officials,Private Citizen and Property
clients,Private Citizen and Property
Bangladesh Commerce Bank,Business
Uri Army camp,Military
Pir,Relegious Institution
Spiritual Mentor,Relegious Institution
retired solider,Military
pro Government peace committee,Government
retired subedar,Military
Member of Legislative Assembly,Government
Manipur NPF MLA,Manipur NPF MLA
Doli bearers,Private Citizen and Property
government buildings,Government
judicial first class magistrate court,Government
civil station,Transportation
20 year old youth,Private Citizen and Property
MLA,Government
APCC,Government
secretary of Assam Pradesh Congress Committee,Government
former Doomdooma Member of Legislative Assembly,Government
village level local self government institution,Government
Jargo panchayat,Government
tits troopers,Military
Police combing party,Police
President,Government
Kurram Agency Pakistan Peopleâ€™s Party,Kurram Agency Pakistan People Party
girl,Private Citizen and Property
CISF,Military
Pengaree Tea Estate,Private Citizen and Property
TE,Private Citizen and Property
Central Industry Security Force,Military
Catholic priest,Relegious Institution
nuns,Relegious Institution
Missionaries of Charity run retirement home,Relegious Institution
GR,Military
Gorkha Rifles,Military
imambargah shia place of worship,Relegious Institution
Intelligence Officer of the Chakiwara Police Station,Police
Police vehicle,Police
Police Official,Police
i,Unknown
ambush party,Unknown
personnel of 18th Armed Police Battalion of J K Police,Police
traders,Private Citizen and Property
private guest house,Private Citizen and Property
Government officials,Government
All India United Democratic Front,All India United Democratic Front
AIUDF,All India United Democratic Front
The Counter Terrorism Department,Government
CTD officials,Government
Pakistan Tehreek e Insaf,Pakistan Tehreek e Insaf
woman councilor,Private Citizen and Property
Bijapur Zila Panchayat,Government
Telugu Desam Party,Telugu Desam Party
TDP,Telugu Desam Party
residents,Private Citizen and Property
Special Operation Group,Government
owner of a restaurant,Private Citizen and Property
shops,Business
Pakistan Sunni Tehreek,Pakistan Sunni Tehreek
PST,Pakistan Sunni Tehreek
assistant constable,Police
gangster,Unknown
PSOs,Unknown
MAC,Unknown
Jamaâ€™at Ahmadiyya,Jamat Ahmadiyya
Afghan Policemen,Police
railway track,Transportation
Police constable,Police
sons,Private Citizen and Property
Marri tribal leader,Government
Kuki Underground,Kuki Underground
Assistant Professor,Educational Institution 
education minister,Government
Education Minister,Government
CPI M,Communist Party of India Maoist
Assam Riffles,Military
Principal,Educational Institution 
Police Officers,Police
Police Sub Inspector,Police
taxis,Transportation
Officer in Charge,Military
OIC,Military
Purbo Banglar Communist Party,Purbo Banglar Communist Party
houbara bustard hunters,Private Citizen and Property
Debnath,Private Citizen and Property
